"Label (Grouping)","New York!!Total!!Estimate","New York!!Total!!Margin of Error","New York!!Percent!!Estimate","New York!!Percent!!Margin of Error","Albany County, New York!!Total!!Estimate","Albany County, New York!!Total!!Margin of Error","Albany County, New York!!Percent!!Estimate","Albany County, New York!!Percent!!Margin of Error","Bronx County, New York!!Total!!Estimate","Bronx County, New York!!Total!!Margin of Error","Bronx County, New York!!Percent!!Estimate","Bronx County, New York!!Percent!!Margin of Error","Broome County, New York!!Total!!Estimate","Broome County, New York!!Total!!Margin of Error","Broome County, New York!!Percent!!Estimate","Broome County, New York!!Percent!!Margin of Error","Cattaraugus County, New York!!Total!!Estimate","Cattaraugus County, New York!!Total!!Margin of Error","Cattaraugus County, New York!!Percent!!Estimate","Cattaraugus County, New York!!Percent!!Margin of Error","Cayuga County, New York!!Total!!Estimate","Cayuga County, New York!!Total!!Margin of Error","Cayuga County, New York!!Percent!!Estimate","Cayuga County, New York!!Percent!!Margin of Error","Chautauqua County, New York!!Total!!Estimate","Chautauqua County, New York!!Total!!Margin of Error","Chautauqua County, New York!!Percent!!Estimate","Chautauqua County, New York!!Percent!!Margin of Error","Chemung County, New York!!Total!!Estimate","Chemung County, New York!!Total!!Margin of Error","Chemung County, New York!!Percent!!Estimate","Chemung County, New York!!Percent!!Margin of Error","Clinton County, New York!!Total!!Estimate","Clinton County, New York!!Total!!Margin of Error","Clinton County, New York!!Percent!!Estimate","Clinton County, New York!!Percent!!Margin of Error","Dutchess County, New York!!Total!!Estimate","Dutchess County, New York!!Total!!Margin of Error","Dutchess County, New York!!Percent!!Estimate","Dutchess County, New York!!Percent!!Margin of Error","Erie County, New York!!Total!!Estimate","Erie County, New York!!Total!!Margin of Error","Erie County, New York!!Percent!!Estimate","Erie County, New York!!Percent!!Margin of Error","Jefferson County, New York!!Total!!Estimate","Jefferson County, New York!!Total!!Margin of Error","Jefferson County, New York!!Percent!!Estimate","Jefferson County, New York!!Percent!!Margin of Error","Kings County, New York!!Total!!Estimate","Kings County, New York!!Total!!Margin of Error","Kings County, New York!!Percent!!Estimate","Kings County, New York!!Percent!!Margin of Error","Madison County, New York!!Total!!Estimate","Madison County, New York!!Total!!Margin of Error","Madison County, New York!!Percent!!Estimate","Madison County, New York!!Percent!!Margin of Error","Monroe County, New York!!Total!!Estimate","Monroe County, New York!!Total!!Margin of Error","Monroe County, New York!!Percent!!Estimate","Monroe County, New York!!Percent!!Margin of Error","Nassau County, New York!!Total!!Estimate","Nassau County, New York!!Total!!Margin of Error","Nassau County, New York!!Percent!!Estimate","Nassau County, New York!!Percent!!Margin of Error","New York County, New York!!Total!!Estimate","New York County, New York!!Total!!Margin of Error","New York County, New York!!Percent!!Estimate","New York County, New York!!Percent!!Margin of Error","Niagara County, New York!!Total!!Estimate","Niagara County, New York!!Total!!Margin of Error","Niagara County, New York!!Percent!!Estimate","Niagara County, New York!!Percent!!Margin of Error","Oneida County, New York!!Total!!Estimate","Oneida County, New York!!Total!!Margin of Error","Oneida County, New York!!Percent!!Estimate","Oneida County, New York!!Percent!!Margin of Error","Onondaga County, New York!!Total!!Estimate","Onondaga County, New York!!Total!!Margin of Error","Onondaga County, New York!!Percent!!Estimate","Onondaga County, New York!!Percent!!Margin of Error","Ontario County, New York!!Total!!Estimate","Ontario County, New York!!Total!!Margin of Error","Ontario County, New York!!Percent!!Estimate","Ontario County, New York!!Percent!!Margin of Error","Orange County, New York!!Total!!Estimate","Orange County, New York!!Total!!Margin of Error","Orange County, New York!!Percent!!Estimate","Orange County, New York!!Percent!!Margin of Error","Oswego County, New York!!Total!!Estimate","Oswego County, New York!!Total!!Margin of Error","Oswego County, New York!!Percent!!Estimate","Oswego County, New York!!Percent!!Margin of Error","Putnam County, New York!!Total!!Estimate","Putnam County, New York!!Total!!Margin of Error","Putnam County, New York!!Percent!!Estimate","Putnam County, New York!!Percent!!Margin of Error","Queens County, New York!!Total!!Estimate","Queens County, New York!!Total!!Margin of Error","Queens County, New York!!Percent!!Estimate","Queens County, New York!!Percent!!Margin of Error","Rensselaer County, New York!!Total!!Estimate","Rensselaer County, New York!!Total!!Margin of Error","Rensselaer County, New York!!Percent!!Estimate","Rensselaer County, New York!!Percent!!Margin of Error","Richmond County, New York!!Total!!Estimate","Richmond County, New York!!Total!!Margin of Error","Richmond County, New York!!Percent!!Estimate","Richmond County, New York!!Percent!!Margin of Error","Rockland County, New York!!Total!!Estimate","Rockland County, New York!!Total!!Margin of Error","Rockland County, New York!!Percent!!Estimate","Rockland County, New York!!Percent!!Margin of Error","St. Lawrence County, New York!!Total!!Estimate","St. Lawrence County, New York!!Total!!Margin of Error","St. Lawrence County, New York!!Percent!!Estimate","St. Lawrence County, New York!!Percent!!Margin of Error","Saratoga County, New York!!Total!!Estimate","Saratoga County, New York!!Total!!Margin of Error","Saratoga County, New York!!Percent!!Estimate","Saratoga County, New York!!Percent!!Margin of Error","Schenectady County, New York!!Total!!Estimate","Schenectady County, New York!!Total!!Margin of Error","Schenectady County, New York!!Percent!!Estimate","Schenectady County, New York!!Percent!!Margin of Error","Steuben County, New York!!Total!!Estimate","Steuben County, New York!!Total!!Margin of Error","Steuben County, New York!!Percent!!Estimate","Steuben County, New York!!Percent!!Margin of Error","Suffolk County, New York!!Total!!Estimate","Suffolk County, New York!!Total!!Margin of Error","Suffolk County, New York!!Percent!!Estimate","Suffolk County, New York!!Percent!!Margin of Error","Sullivan County, New York!!Total!!Estimate","Sullivan County, New York!!Total!!Margin of Error","Sullivan County, New York!!Percent!!Estimate","Sullivan County, New York!!Percent!!Margin of Error","Tompkins County, New York!!Total!!Estimate","Tompkins County, New York!!Total!!Margin of Error","Tompkins County, New York!!Percent!!Estimate","Tompkins County, New York!!Percent!!Margin of Error","Ulster County, New York!!Total!!Estimate","Ulster County, New York!!Total!!Margin of Error","Ulster County, New York!!Percent!!Estimate","Ulster County, New York!!Percent!!Margin of Error","Warren County, New York!!Total!!Estimate","Warren County, New York!!Total!!Margin of Error","Warren County, New York!!Percent!!Estimate","Warren County, New York!!Percent!!Margin of Error","Wayne County, New York!!Total!!Estimate","Wayne County, New York!!Total!!Margin of Error","Wayne County, New York!!Percent!!Estimate","Wayne County, New York!!Percent!!Margin of Error","Westchester County, New York!!Total!!Estimate","Westchester County, New York!!Total!!Margin of Error","Westchester County, New York!!Percent!!Estimate","Westchester County, New York!!Percent!!Margin of Error"
"Citizens 18 years and over","13,945,400","±29,106","(X)","(X)","243,982","±2,942","(X)","(X)","827,809","±10,973","(X)","(X)","152,728","±1,372","(X)","(X)","58,692","±191","(X)","(X)","59,345","±506","(X)","(X)","97,682","±1,103","(X)","(X)","63,530","±437","(X)","(X)","62,384","±670","(X)","(X)","229,493","±2,829","(X)","(X)","732,278","±3,319","(X)","(X)","85,467","±697","(X)","(X)","1,682,851","±13,043","(X)","(X)","53,763","±383","(X)","(X)","580,772","±2,513","(X)","(X)","992,885","±6,460","(X)","(X)","1,173,742","±12,933","(X)","(X)","166,020","±837","(X)","(X)","173,363","±1,494","(X)","(X)","357,253","±1,939","(X)","(X)","89,956","±1,257","(X)","(X)","276,208","±4,115","(X)","(X)","94,364","±314","(X)","(X)","75,260","±1,685","(X)","(X)","1,416,999","±14,392","(X)","(X)","125,415","±986","(X)","(X)","348,113","±4,408","(X)","(X)","210,381","±2,955","(X)","(X)","84,047","±810","(X)","(X)","189,448","±1,099","(X)","(X)","120,293","±1,657","(X)","(X)","72,188","±498","(X)","(X)","1,115,001","±6,446","(X)","(X)","57,973","±945","(X)","(X)","81,107","±1,552","(X)","(X)","145,943","±1,412","(X)","(X)","53,793","±528","(X)","(X)","71,006","±317","(X)","(X)","688,599","±8,051","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        18 to 29 years","2,741,466","±13,687","19.7%","±0.1","62,295","±1,548","25.5%","±0.5","176,697","±6,022","21.3%","±0.6","38,133","±1,559","25.0%","±0.9","10,014","±347","17.1%","±0.6","9,514","±361","16.0%","±0.6","18,004","±562","18.4%","±0.6","10,689","±624","16.8%","±0.9","13,395","±641","21.5%","±0.9","43,276","±1,067","18.9%","±0.3","137,975","±1,748","18.8%","±0.2","22,890","±547","26.8%","±0.6","349,503","±5,333","20.8%","±0.3","11,581","±483","21.5%","±0.8","115,985","±1,149","20.0%","±0.2","179,866","±2,370","18.1%","±0.2","270,206","±5,093","23.0%","±0.3","28,015","±665","16.9%","±0.4","31,748","±831","18.3%","±0.4","72,429","±879","20.3%","±0.2","14,377","±856","16.0%","±0.8","60,555","±1,615","21.9%","±0.4","20,361","±498","21.6%","±0.5","11,456","±978","15.2%","±1.1","251,827","±4,618","17.8%","±0.3","24,705","±597","19.7%","±0.4","65,032","±1,425","18.7%","±0.3","43,685","±1,577","20.8%","±0.6","19,335","±619","23.0%","±0.7","28,942","±891","15.3%","±0.4","23,443","±835","19.5%","±0.6","11,867","±538","16.4%","±0.7","210,246","±3,338","18.9%","±0.2","10,235","±774","17.7%","±1.3","30,528","±1,278","37.6%","±1.3","25,829","±897","17.7%","±0.6","7,445","±183","13.8%","±0.4","10,518","±291","14.8%","±0.4","120,582","±2,664","17.5%","±0.3"
"        30 to 44 years","3,367,791","±15,592","24.1%","±0.1","54,887","±1,806","22.5%","±0.7","210,338","±5,787","25.4%","±0.6","30,890","±1,107","20.2%","±0.7","13,009","±402","22.2%","±0.7","13,741","±560","23.2%","±0.9","21,000","±857","21.5%","±0.8","15,584","±590","24.5%","±0.9","13,743","±504","22.0%","±0.8","53,603","±1,992","23.4%","±0.8","181,448","±1,615","24.8%","±0.2","21,171","±677","24.8%","±0.7","486,494","±7,083","28.9%","±0.3","10,719","±181","19.9%","±0.3","142,669","±1,327","24.6%","±0.2","219,814","±3,691","22.1%","±0.3","309,316","±7,186","26.4%","±0.5","38,274","±907","23.1%","±0.6","40,265","±1,193","23.2%","±0.7","85,057","±1,441","23.8%","±0.3","19,251","±784","21.4%","±0.9","65,355","±2,120","23.7%","±0.6","21,333","±474","22.6%","±0.5","17,045","±1,450","22.6%","±1.7","347,825","±6,453","24.5%","±0.3","31,459","±1,180","25.1%","±0.8","83,094","±2,607","23.9%","±0.6","45,526","±1,591","21.6%","±0.7","17,654","±495","21.0%","±0.6","45,271","±1,206","23.9%","±0.6","30,305","±1,412","25.2%","±1.1","15,939","±413","22.1%","±0.6","241,198","±2,654","21.6%","±0.2","13,429","±1,182","23.2%","±2.0","14,964","±673","18.4%","±0.8","33,176","±1,147","22.7%","±0.8","12,518","±809","23.3%","±1.4","16,521","±461","23.3%","±0.6","154,510","±3,648","22.4%","±0.4"
"        45 to 64 years","4,404,616","±16,123","31.6%","±0.1","69,435","±1,777","28.5%","±0.6","256,838","±5,372","31.0%","±0.5","44,391","±1,096","29.1%","±0.7","19,600","±358","33.4%","±0.6","19,834","±501","33.4%","±0.8","31,834","±894","32.6%","±0.8","20,566","±650","32.4%","±1.1","19,976","±659","32.0%","±1.1","75,367","±1,877","32.8%","±0.7","227,765","±1,596","31.1%","±0.2","23,676","±795","27.7%","±0.9","475,447","±6,192","28.3%","±0.3","17,218","±191","32.0%","±0.4","179,756","±1,090","31.0%","±0.1","339,149","±3,380","34.2%","±0.2","319,444","±6,064","27.2%","±0.4","55,663","±1,132","33.5%","±0.6","55,791","±1,714","32.2%","±0.9","111,332","±1,204","31.2%","±0.3","30,283","±841","33.7%","±0.8","91,183","±2,562","33.0%","±0.7","30,930","±312","32.8%","±0.3","27,702","±1,184","36.8%","±1.5","452,705","±7,049","31.9%","±0.3","39,049","±840","31.1%","±0.7","118,572","±2,136","34.1%","±0.5","68,413","±1,723","32.5%","±0.6","26,645","±545","31.7%","±0.7","65,909","±1,130","34.8%","±0.6","37,869","±1,574","31.5%","±1.2","24,579","±506","34.0%","±0.7","389,812","±3,247","35.0%","±0.2","19,471","±1,059","33.6%","±1.7","17,968","±909","22.2%","±1.0","47,654","±1,287","32.7%","±0.8","17,532","±419","32.6%","±0.8","24,539","±513","34.6%","±0.7","235,892","±4,438","34.3%","±0.4"
"        65 years and over","3,431,527","±8,723","24.6%","±0.1","57,365","±719","23.5%","±0.4","183,936","±3,337","22.2%","±0.5","39,314","±1,102","25.7%","±0.7","16,069","±297","27.4%","±0.5","16,256","±317","27.4%","±0.5","26,844","±558","27.5%","±0.5","16,691","±322","26.3%","±0.5","15,270","±343","24.5%","±0.6","57,247","±822","24.9%","±0.4","185,090","±919","25.3%","±0.1","17,730","±272","20.7%","±0.3","371,407","±4,025","22.1%","±0.2","14,245","±137","26.5%","±0.3","142,362","±798","24.5%","±0.1","254,056","±1,790","25.6%","±0.2","274,776","±4,430","23.4%","±0.4","44,068","±513","26.5%","±0.3","45,559","±723","26.3%","±0.5","88,435","±597","24.8%","±0.2","26,045","±518","29.0%","±0.6","59,115","±650","21.4%","±0.4","21,740","±190","23.0%","±0.2","19,057","±745","25.3%","±1.3","364,642","±4,727","25.7%","±0.3","30,202","±482","24.1%","±0.4","81,415","±1,251","23.4%","±0.4","52,757","±604","25.1%","±0.5","20,413","±766","24.3%","±0.8","49,326","±507","26.0%","±0.3","28,676","±939","23.8%","±0.8","19,803","±422","27.4%","±0.5","273,745","±1,511","24.6%","±0.2","14,838","±535","25.6%","±1.0","17,647","±774","21.8%","±0.9","39,284","±644","26.9%","±0.4","16,298","±458","30.3%","±0.9","19,428","±454","27.4%","±0.7","177,615","±1,556","25.8%","±0.3"
"    SEX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Male","6,687,082","±21,046","48.0%","±0.1","115,680","±2,053","47.4%","±0.4","379,359","±7,109","45.8%","±0.5","74,566","±1,077","48.8%","±0.6","28,902","±362","49.2%","±0.6","30,172","±454","50.8%","±0.6","47,642","±925","48.8%","±0.6","31,479","±450","49.5%","±0.5","31,421","±731","50.4%","±0.8","113,040","±1,776","49.3%","±0.4","350,978","±2,523","47.9%","±0.2","45,174","±617","52.9%","±0.4","776,979","±7,942","46.2%","±0.3","26,117","±399","48.6%","±0.6","277,540","±1,662","47.8%","±0.2","482,307","±3,875","48.6%","±0.2","545,843","±8,965","46.5%","±0.4","80,802","±585","48.7%","±0.3","85,422","±904","49.3%","±0.3","170,131","±1,488","47.6%","±0.3","44,193","±1,053","49.1%","±0.7","135,605","±2,469","49.1%","±0.4","47,041","±390","49.9%","±0.4","36,029","±1,060","47.9%","±1.1","675,755","±8,219","47.7%","±0.3","61,725","±763","49.2%","±0.3","167,924","±2,475","48.2%","±0.4","101,779","±1,850","48.4%","±0.5","42,076","±656","50.1%","±0.6","93,731","±605","49.5%","±0.3","58,505","±933","48.6%","±0.5","35,483","±408","49.2%","±0.6","544,781","±4,282","48.9%","±0.2","29,530","±821","50.9%","±0.9","39,052","±1,246","48.1%","±1.0","72,063","±1,007","49.4%","±0.4","25,524","±398","47.4%","±0.9","34,761","±429","49.0%","±0.5","328,628","±5,650","47.7%","±0.4"
"        Female","7,258,318","±16,257","52.0%","±0.1","128,302","±1,411","52.6%","±0.4","448,450","±6,871","54.2%","±0.5","78,162","±1,243","51.2%","±0.6","29,790","±326","50.8%","±0.6","29,173","±460","49.2%","±0.6","50,040","±592","51.2%","±0.6","32,051","±264","50.5%","±0.5","30,963","±399","49.6%","±0.8","116,453","±1,542","50.7%","±0.4","381,300","±1,871","52.1%","±0.2","40,293","±408","47.1%","±0.4","905,872","±7,981","53.8%","±0.3","27,646","±319","51.4%","±0.6","303,232","±1,539","52.2%","±0.2","510,578","±3,718","51.4%","±0.2","627,899","±6,713","53.5%","±0.4","85,218","±676","51.3%","±0.3","87,941","±922","50.7%","±0.3","187,122","±1,171","52.4%","±0.3","45,763","±599","50.9%","±0.7","140,603","±2,326","50.9%","±0.4","47,323","±364","50.1%","±0.4","39,231","±1,328","52.1%","±1.1","741,244","±8,143","52.3%","±0.3","63,690","±532","50.8%","±0.3","180,189","±2,774","51.8%","±0.4","108,602","±1,828","51.6%","±0.5","41,971","±675","49.9%","±0.6","95,717","±919","50.5%","±0.3","61,788","±1,163","51.4%","±0.5","36,705","±606","50.8%","±0.6","570,220","±3,613","51.1%","±0.2","28,443","±519","49.1%","±0.9","42,055","±965","51.9%","±1.0","73,880","±861","50.6%","±0.4","28,269","±648","52.6%","±0.9","36,245","±350","51.0%","±0.5","359,971","±3,913","52.3%","±0.4"
"    RACE AND HISPANIC ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","8,568,670","±20,971","61.4%","±0.1","180,784","±3,244","74.1%","±1.3","123,997","±6,030","15.0%","±0.7","130,190","±1,592","85.2%","±1.0","53,158","±569","90.6%","±1.0","53,321","±961","89.8%","±1.6","85,821","±1,146","87.9%","±1.2","56,325","±468","88.7%","±0.9","56,966","±735","91.3%","±1.3","169,815","±2,620","74.0%","±1.2","572,739","±2,882","78.2%","±0.4","71,962","±807","84.2%","±1.2","673,708","±8,016","40.0%","±0.5","50,196","±372","93.4%","±0.6","434,532","±3,187","74.8%","±0.6","620,534","±4,961","62.5%","±0.6","628,443","±10,288","53.5%","±0.7","141,994","±1,596","85.5%","±0.9","145,993","±1,934","84.2%","±1.0","287,390","±1,879","80.4%","±0.5","81,614","±956","90.7%","±1.5","183,055","±2,367","66.3%","±1.1","87,733","±1,027","93.0%","±1.1","59,438","±922","79.0%","±1.7","444,049","±6,989","31.3%","±0.5","106,516","±1,071","84.9%","±0.9","223,835","±3,160","64.3%","±1.0","141,353","±2,674","67.2%","±1.4","78,007","±990","92.8%","±0.8","171,416","±1,894","90.5%","±0.9","87,894","±2,224","73.1%","±1.7","66,624","±538","92.3%","±0.8","801,973","±5,183","71.9%","±0.5","43,899","±960","75.7%","±1.8","64,419","±1,639","79.4%","±1.7","116,487","±1,866","79.8%","±1.3","N","N","N","N","N","N","N","N","403,073","±5,154","58.5%","±0.8"
"        Black or African American alone","2,003,005","±21,595","14.4%","±0.1","26,542","±2,065","10.9%","±0.8","298,775","±10,610","36.1%","±1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","21,419","±1,997","9.3%","±0.9","85,815","±2,319","11.7%","±0.3","3,557","±876","4.2%","±1.0","509,097","±8,251","30.3%","±0.4","N","N","N","N","75,400","±2,671","13.0%","±0.5","113,872","±4,998","11.5%","±0.5","170,895","±6,096","14.6%","±0.5","N","N","N","N","N","N","N","N","34,333","±1,923","9.6%","±0.5","N","N","N","N","33,769","±2,496","12.2%","±0.9","N","N","N","N","N","N","N","N","282,701","±6,060","20.0%","±0.4","N","N","N","N","31,525","±1,963","9.1%","±0.5","24,636","±1,632","11.7%","±0.8","N","N","N","N","3,465","±448","1.8%","±0.2","14,051","±1,250","11.7%","±1.1","N","N","N","N","82,364","±3,745","7.4%","±0.3","5,683","±696","9.8%","±1.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","94,476","±4,244","13.7%","±0.6"
"        Asian alone","1,032,499","±12,482","7.4%","±0.1","11,723","±1,571","4.8%","±0.6","31,971","±2,420","3.9%","±0.3","5,127","±1,079","3.4%","±0.7","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6,564","±867","2.9%","±0.4","22,832","±2,067","3.1%","±0.3","N","N","N","N","179,128","±5,464","10.6%","±0.3","N","N","N","N","16,234","±1,152","2.8%","±0.2","107,286","±3,598","10.8%","±0.3","121,161","±5,945","10.3%","±0.5","N","N","N","N","4,512","±803","2.6%","±0.5","8,520","±1,139","2.4%","±0.3","N","N","N","N","7,073","±1,097","2.6%","±0.4","N","N","N","N","N","N","N","N","335,635","±7,525","23.7%","±0.5","2,753","±453","2.2%","±0.4","42,521","±2,381","12.2%","±0.7","14,304","±979","6.8%","±0.5","N","N","N","N","2,873","±836","1.5%","±0.4","3,204","±1,388","2.7%","±1.2","N","N","N","N","44,947","±2,460","4.0%","±0.2","N","N","N","N","4,970","±815","6.1%","±1.0","2,205","±547","1.5%","±0.4","N","N","N","N","N","N","N","N","38,764","±2,396","5.6%","±0.3"
"        American Indian and Alaska Native alone","70,266","±6,591","0.5%","±0.1","N","N","N","N","12,238","±2,650","1.5%","±0.3","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7,576","±1,746","0.5%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","3,701","±1,807","1.3%","±0.7","N","N","N","N","N","N","N","N","12,850","±2,435","0.9%","±0.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","4,827","±2,534","0.7%","±0.4"
"        Native Hawaiian and Other Pacific Islander alone","5,654","±1,713","0.0%","±0.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
