"Label (Grouping)","Total:","Total:!!18 to 29 years","Total:!!30 to 44 years","Total:!!45 to 64 years","Total:!!65 years and over"
"New York","","","","",""
"    Estimate","13,764,741","2,924,305","3,194,733","4,598,993","3,046,710"
"    Margin of Error","±13,737","±5,431","±8,100","±6,315","±3,504"
"Albany County, New York","","","","",""
"    Estimate","235,813","60,919","48,896","75,231","50,767"
"    Margin of Error","±1,003","±595","±581","±352","±229"
"Allegany County, New York","","","","",""
"    Estimate","36,622","9,258","6,857","11,856","8,651"
"    Margin of Error","±118","±139","±61","±78","±82"
"Bronx County, New York","","","","",""
"    Estimate","856,699","218,185","207,596","267,462","163,456"
"    Margin of Error","±4,904","±1,849","±2,906","±2,188","±1,202"
"Broome County, New York","","","","",""
"    Estimate","149,025","36,122","28,259","48,364","36,280"
"    Margin of Error","±587","±418","±341","±239","±118"
"Cattaraugus County, New York","","","","",""
"    Estimate","59,242","10,995","12,354","21,214","14,679"
"    Margin of Error","±110","±64","±103","±106","±61"
"Cayuga County, New York","","","","",""
"    Estimate","61,096","11,051","13,410","22,161","14,474"
"    Margin of Error","±135","±83","±186","±203","±122"
"Chautauqua County, New York","","","","",""
"    Estimate","100,188","19,636","20,316","34,809","25,427"
"    Margin of Error","±317","±87","±248","±289","±123"
"Chemung County, New York","","","","",""
"    Estimate","64,915","11,858","14,789","22,562","15,706"
"    Margin of Error","±358","±141","±254","±299","±113"
"Chenango County, New York","","","","",""
"    Estimate","37,270","6,295","7,466","13,782","9,727"
"    Margin of Error","±95","±79","±81","±83","±66"
"Clinton County, New York","","","","",""
"    Estimate","63,999","15,289","13,932","21,521","13,257"
"    Margin of Error","±300","±206","±178","±276","±138"
"Columbia County, New York","","","","",""
"    Estimate","47,925","6,935","9,060","17,755","14,175"
"    Margin of Error","±302","±183","±177","±208","±119"
"Cortland County, New York","","","","",""
"    Estimate","38,163","11,438","7,204","11,826","7,695"
"    Margin of Error","±159","±196","±199","±147","±74"
"Delaware County, New York","","","","",""
"    Estimate","36,486","6,469","6,336","12,923","10,758"
"    Margin of Error","±158","±129","±112","±152","±118"
"Dutchess County, New York","","","","",""
"    Estimate","224,741","46,568","45,541","82,268","50,364"
"    Margin of Error","±1,030","±441","±556","±545","±315"
"Erie County, New York","","","","",""
"    Estimate","707,808","144,012","157,427","243,345","163,024"
"    Margin of Error","±1,258","±625","±877","±631","±353"
"Essex County, New York","","","","",""
"    Estimate","30,556","4,558","6,113","11,164","8,721"
"    Margin of Error","±288","±314","±139","±121","±70"
"Franklin County, New York","","","","",""
"    Estimate","39,948","8,585","9,239","13,551","8,573"
"    Margin of Error","±179","±203","±259","±271","±157"
"Fulton County, New York","","","","",""
"    Estimate","42,474","7,169","9,445","15,454","10,406"
"    Margin of Error","±76","±180","±186","±144","±89"
"Genesee County, New York","","","","",""
"    Estimate","45,207","8,298","9,610","16,545","10,754"
"    Margin of Error","±171","±133","±151","±182","±101"
"Greene County, New York","","","","",""
"    Estimate","38,778","6,840","7,810","13,820","10,308"
"    Margin of Error","±186","±181","±203","±222","±157"
"Hamilton County, New York","","","","",""
"    Estimate","3,836","479","538","1,452","1,367"
"    Margin of Error","±39","±49","±29","±25","±18"
"Herkimer County, New York","","","","",""
"    Estimate","48,519","8,747","9,763","17,320","12,689"
"    Margin of Error","±160","±89","±86","±141","±92"
"Jefferson County, New York","","","","",""
"    Estimate","82,810","23,523","20,533","23,722","15,032"
"    Margin of Error","±269","±177","±272","±197","±82"
"Kings County, New York","","","","",""
"    Estimate","1,662,118","385,758","468,721","480,021","327,618"
"    Margin of Error","±4,797","±2,200","±2,767","±2,336","±1,317"
"Lewis County, New York","","","","",""
"    Estimate","20,178","3,464","4,297","7,465","4,952"
"    Margin of Error","±82","±61","±42","±61","±73"
"Livingston County, New York","","","","",""
"    Estimate","50,773","12,233","9,826","17,522","11,192"
"    Margin of Error","±328","±280","±162","±178","±82"
"Madison County, New York","","","","",""
"    Estimate","56,539","12,517","10,990","20,101","12,931"
"    Margin of Error","±176","±191","±160","±193","±114"
"Monroe County, New York","","","","",""
"    Estimate","566,793","121,514","128,585","190,241","126,453"
"    Margin of Error","±1,345","±627","±672","±804","±377"
"Montgomery County, New York","","","","",""
"    Estimate","37,445","6,657","8,632","13,035","9,121"
"    Margin of Error","±157","±135","±112","±109","±62"
"Nassau County, New York","","","","",""
"    Estimate","970,972","182,512","205,270","353,056","230,134"
"    Margin of Error","±2,631","±1,154","±1,526","±1,202","±855"
"New York County, New York","","","","",""
"    Estimate","1,186,147","286,063","323,262","327,873","248,949"
"    Margin of Error","±3,519","±2,175","±2,613","±2,315","±1,431"
"Niagara County, New York","","","","",""
"    Estimate","165,128","30,247","35,174","60,126","39,581"
"    Margin of Error","±438","±163","±291","±292","±146"
"Oneida County, New York","","","","",""
"    Estimate","174,242","34,884","37,474","59,464","42,420"
"    Margin of Error","±632","±279","±374","±394","±165"
"Onondaga County, New York","","","","",""
"    Estimate","350,237","74,187","77,964","120,194","77,892"
"    Margin of Error","±985","±410","±511","±438","±217"
"Ontario County, New York","","","","",""
"    Estimate","86,024","15,486","17,701","31,028","21,809"
"    Margin of Error","±338","±198","±224","±250","±122"
"Orange County, New York","","","","",""
"    Estimate","267,427","60,066","59,720","95,720","51,921"
"    Margin of Error","±1,203","±472","±807","±574","±357"
"Orleans County, New York","","","","",""
"    Estimate","32,195","5,889","6,949","12,172","7,185"
"    Margin of Error","±157","±185","±197","±177","±100"
"Oswego County, New York","","","","",""
"    Estimate","91,930","19,696","19,568","33,545","19,121"
"    Margin of Error","±223","±128","±165","±177","±119"
"Otsego County, New York","","","","",""
"    Estimate","49,312","12,912","8,452","15,501","12,447"
"    Margin of Error","±224","±244","±226","±224","±76"
"Putnam County, New York","","","","",""
"    Estimate","74,088","12,939","14,948","29,481","16,720"
"    Margin of Error","±619","±240","±341","±409","±225"
"Queens County, New York","","","","",""
"    Estimate","1,399,799","285,387","343,942","458,673","311,797"
"    Margin of Error","±6,455","±2,460","±2,862","±2,870","±2,125"
"Rensselaer County, New York","","","","",""
"    Estimate","123,990","25,824","28,747","42,588","26,831"
"    Margin of Error","±579","±285","±258","±240","±151"
"Richmond County, New York","","","","",""
"    Estimate","337,311","66,343","78,438","119,356","73,174"
"    Margin of Error","±1,893","±756","±992","±995","±533"
"Rockland County, New York","","","","",""
"    Estimate","207,937","44,488","43,455","71,493","48,501"
"    Margin of Error","±1,444","±582","±778","±714","±397"
"St. Lawrence County, New York","","","","",""
"    Estimate","84,822","20,609","17,554","27,968","18,691"
"    Margin of Error","±335","±280","±161","±170","±85"
"Saratoga County, New York","","","","",""
"    Estimate","178,680","31,198","40,116","66,086","41,280"
"    Margin of Error","±649","±275","±462","±339","±181"
"Schenectady County, New York","","","","",""
"    Estimate","116,694","22,954","27,341","40,202","26,197"
"    Margin of Error","±690","±287","±483","±414","±183"
"Schoharie County, New York","","","","",""
"    Estimate","25,384","4,887","4,768","8,990","6,739"
"    Margin of Error","±91","±100","±105","±79","±73"
"Schuyler County, New York","","","","",""
"    Estimate","14,329","2,260","2,829","5,496","3,744"
"    Margin of Error","±48","±66","±63","±71","±42"
"Seneca County, New York","","","","",""
"    Estimate","27,104","5,060","6,060","9,430","6,554"
"    Margin of Error","±97","±141","±141","±112","±53"
"Steuben County, New York","","","","",""
"    Estimate","73,616","12,479","15,976","26,664","18,497"
"    Margin of Error","±200","±127","±190","±150","±68"
"Suffolk County, New York","","","","",""
"    Estimate","1,082,958","208,181","223,207","407,766","243,804"
"    Margin of Error","±2,933","±1,231","±1,613","±1,295","±801"
"Sullivan County, New York","","","","",""
"    Estimate","56,319","10,219","11,646","20,556","13,898"
"    Margin of Error","±466","±136","±338","±368","±141"
"Tioga County, New York","","","","",""
"    Estimate","38,056","6,082","7,919","14,309","9,746"
"    Margin of Error","±111","±124","±112","±168","±74"
"Tompkins County, New York","","","","",""
"    Estimate","80,103","30,166","14,561","20,957","14,419"
"    Margin of Error","±617","±477","±367","±347","±135"
"Ulster County, New York","","","","",""
"    Estimate","141,556","26,579","29,534","50,961","34,482"
"    Margin of Error","±533","±262","±377","±347","±327"
"Warren County, New York","","","","",""
"    Estimate","51,693","8,242","10,357","18,889","14,205"
"    Margin of Error","±241","±201","±197","±191","±94"
"Washington County, New York","","","","",""
"    Estimate","49,179","8,569","10,636","18,114","11,860"
"    Margin of Error","±142","±173","±210","±127","±57"
"Wayne County, New York","","","","",""
"    Estimate","70,171","11,844","14,793","26,648","16,886"
"    Margin of Error","±168","±61","±179","±192","±57"
"Westchester County, New York","","","","",""
"    Estimate","660,280","122,759","142,052","239,143","156,326"
"    Margin of Error","±2,767","±1,174","±1,573","±1,347","±875"
"Wyoming County, New York","","","","",""
"    Estimate","31,906","5,757","7,251","11,700","7,198"
"    Margin of Error","±156","±313","±260","±266","±98"
"Yates County, New York","","","","",""
"    Estimate","19,186","4,165","3,524","6,352","5,145"
"    Margin of Error","±131","±78","±86","±74","±80"